#object,RA,DEC,profile,beta,FWHM,
A,04:38:14.786,-12:17:14.910,moffat,3,2,
B,04:38:14.884,-12:17:15.463,moffat,3,2,
C,04:38:14.950,-12:17:14.307,moffat,3,2,
D,04:38:14.849,-12:17:13.296,moffat,3,2,
G,04:38:14.864,-12:17:14.337,moffat,3,3,
