time,lc_A,lc_B
57008.0353569,51.037116924500459,49.429805497946084
57008.0394209,50.838787800307514,49.599771205918266
57008.0434403,50.686070293396185,49.228594883072653
57008.0474871,50.630646994771382,49.514418960030042
57008.0515023,50.76392495920215,49.607379000062146
57008.0555272,50.526829796935957,49.256289205908466
57008.0597119,50.534025141133391,49.669793305134085
57008.0639228,50.681569237639323,49.423599019637052
57008.0679823,50.613373196929928,50.047132613583393
57008.0720166,50.838087592061356,50.156661227177459
57008.0760385,50.369645902510612,50.289382179570801
57008.08006,50.314487890276162,50.211986116463365
57008.0841032,50.114203783623772,49.605255507104054
57008.0881272,50.203140066763041,50.068922185159273
57008.0921436,50.261874240506145,50.125455468206368
57008.096172,50.650297765046808,50.258160872315663
57008.1002092,50.883704692841313,50.443416257369392
57008.1042234,50.981079056505259,50.114929929063962
57008.1082457,51.099703749869775,50.234001273207198
57008.1122926,51.38434786037616,49.966679711347169
57008.1165182,51.624726189130939,49.937711172564178
57008.1207029,51.573516915747696,50.160610585106014
57008.1247694,51.692814282412911,50.543743062748845
57008.128795,51.648256790875557,50.674903921942281
57008.1328164,51.844132619958884,50.256850923050855
57008.1368453,51.279236186660476,49.863885876825179
57008.1408689,51.54131409990984,49.842923723731154
57008.1448883,51.893713526077555,50.055747958412084
57008.1489087,51.874719587316179,50.269170937669045
57008.1529257,51.829498243838877,50.390847206218545
57008.1569684,51.738987730679106,50.500600081906725
57008.1609917,51.719874674095394,50.557473111134925
57008.1650153,51.220609114660924,51.100364162760044
57008.1690417,51.382155818731555,50.854351410691173
57008.1730616,51.22134746864846,50.967316533879625
57008.1771387,51.329248613534148,50.896870816459639
57008.1813523,51.402816217846791,51.147596559739469
57008.1855861,51.65615994132223,51.439063860227257
57008.1896615,51.487539633764484,51.573337065414599
57008.1936849,51.384027056842697,51.792807393287333
57008.1977089,51.368088939043794,51.646149188852966
57008.2017303,51.300048414598848,51.720070678196244
57008.2057575,51.488622697912305,51.56498689675805
57008.2097744,51.879521859952703,51.204810033773967
57008.2137897,51.847265917147332,51.210029324908646
57008.2178242,51.909413660173819,51.311098603388309
57008.2218525,52.138800755143052,51.601527623159313
57008.2258691,51.801145149959169,51.773345188845624
57008.2298905,51.628485060510542,51.463072483983964
57008.233917,51.616540163861146,51.535066018028161
57008.2379349,51.554474707460997,51.572103961690097
57008.2421599,51.596919214739458,51.352485608939297
57008.2463465,52.011706101475475,51.210556860509925
57008.2504054,52.390968383792618,51.319245813037114
57008.2544334,52.498479486439059,51.335061317041919
57008.2584688,52.74289192636499,51.38089800255382
57008.262493,53.063201762886017,51.016534241876109
57008.2665195,53.057521158421061,50.502501434140171
57008.2705373,53.076593999554596,50.498529927389889
57008.2745757,52.763090665602611,50.651604651727595
57008.2786007,52.899565578727973,50.696869321645835
57008.2826434,52.948481364702587,50.661368660529213
57008.2866715,52.769015298973997,50.705412457242268
57008.2906948,52.716976260814498,50.526017035824616
57008.2947218,52.307396335624809,50.811714496221583
57008.2987498,52.216241049777942,50.596873248677383
57008.3029711,52.223706311867794,50.221729683364188
57008.3070413,51.660780930097538,50.530810388088959
57008.3110612,51.437852822842864,50.372779881641463
57008.3150944,51.852107669831341,50.567568667890519
57008.319118,51.693552167014573,50.224271553992999
57008.3231382,51.414806633494642,49.864237707184465
57008.7842306,45.201436961578601,51.360943168596236
57008.7878784,45.139158460103083,51.221631447994177
57008.7915368,45.198205445301369,51.077033048797304
57008.7951947,45.108132860705872,51.563150368075213
57008.7988455,45.168115137494823,51.4257800793429
57008.8024998,44.828848635681567,50.98544746948852
57008.8064032,45.099537104764416,51.015481658326422
57008.8102254,44.999412331132334,50.918119429401401
57008.8138795,45.5106667476308,50.9086043186498
57008.8175344,45.245874832479799,50.812370246132105
57008.8211911,44.902589180295287,51.380948681423547
57008.8248639,44.495457424800996,51.451714020805966
57008.8285322,44.934294003283092,51.578422199454046
57008.8322179,45.282045508718021,51.900950799073861
57008.8358826,45.653959698813729,52.107991920846082
57008.839532,45.807117044709138,52.562578051256473
57008.8432023,45.742104029780755,52.750167735798151
57008.8468567,45.670080481349423,52.536810828686072
57008.8505106,45.801941882876548,52.382686977467721
57008.8541621,45.864328680211614,52.510057819653667
57008.857823,45.91889245208835,52.409201198891502
57008.8614755,45.948060037214105,52.171057896041319
57008.8651206,46.467901804373,52.485604634904632
57008.8690696,46.405220989135657,52.285036600609601
57008.8728868,45.997785138266934,52.114546589266595
57008.8765411,46.210400471787075,52.203849623591097
57008.8801997,46.34335972974953,52.341936370645477
57008.883859,46.274114144851367,52.467551633287492
57008.887519,46.140577818575494,52.303310933818516
